Code,Title,Description,Diagnosis,"T Code","M Code","P Code",Classification,"Cancer Register",RCPath
"80812B-Part bowens, down adnex",,"Skin with part of Bowens disease (squamous cell carcinoma in situ), extending down adnexa. No invasive malignancy is seen. ","Skin: Excision - Bowens disease",t01000,80812,,,,
"80812C-Part bowens, too superf",,"Skin with part of Bowens disease (squamous cell carcinoma in situ). The biopsy is too superficial to assess for invasion. ","Skin: Excision - Bowens disease",t01000,80812,,,,
"80812D- Bowen, suspicious inva",,"Skin with Bowens disease (squamous cell carcinoma in situ) with a foci highly suspicious for early invasive squamous cell carcinoma. No lympho-vascular invasion is seen. 

This case should be listed for the Local Skin MDT.  ","Skin: Excision - Bowens disease",t01000,72850,,,,
"80812E-Ex Bowens",,"Skin with Bowens disease (squamous cell carcinoma in situ). There is no evidence of malignancy. The lesion is completely excised and lies X mm from the lateral resection margin. ","Skin: Excision - Bowens disease",t01000,72850,,,,
74000A-VIN1,,"Skin with mild dysplasia of the epidermis amounting to vulval intraepithelial neoplasia grade 1. No invasive malignancy is seen. The lesion is completely excised and lies X mm from the lateral resection margin. ","Skin: Excision -  Vulval intraepithelial neoplasia",t81000,74000,,,,
74000B-VIN2,,"Skin with moderate dysplasia of the epidermis amounting to vulval intraepithelial neoplasia grade 2. No invasive malignancy is seen. The lesion is completely excised and lies X mm from the lateral resection margin. ","Skin: Excision -  Vulval intraepithelial neoplasia",t81000,74000,,,,
74000C-VIN3,,"Skin with full thickness dysplasia of the epidermis amounting to vulval intraepithelial neoplasia grade 3. No invasive malignancy is seen. The lesion is completely excised and lies X mm from the lateral resection margin. ","Skin: Excision -  Vulval intraepithelial neoplasia",t81000,74000,,,,
76810-FEP,,"Skin with a fibroepithelial polyp. There is no evidence of dysplasia or malignancy. ","Skin: Excision - Fibroepithelial polyp",,786810,,,,
"09450A-Solar elastosis",,"Skin with mild epidermal atrophy and solar elastosis. There is no evidence of dysplasia or malignancy.","Skin: Excision - Solar elastosis",t01000,09540,,,,
09450B-Squamoproliferative,,"Skin with part of a squamoproliferative lesion with some features suggestive of a viral aetiology. There is no evidence of dysplasia or malignancy.","Skin: Excision - Benign squamoproliferative lesion",,09540,,,,
09450C-Squamoproliferative,,"Skin with parakeratosis and irregular acanthosis with the keratinocytes having glassy cytoplasm. There is nuclear atypia and dyskeratosis. Chronic inflammation is also seen. The base of the lesion is not present. 

The features are those of a? squamo-proliferative lesion. Malignancy can not be excluded as the base of the lesion is not present. A complete excision is advised if clinically appropriate. ","Skin: Excision - Squamoproliferative lesion",t01000,9450,,,,
"80903A-BCC/ AK",,"Skin with a basaloid proliferation extending from the epidermis into the superficial dermis at multiple focal points showing atypia of the keratinocytes.

The features are either those of a moderate actinic keratosis or a superficial basal cell carcinoma. It is not possible to be certain on such a biopsy, however, I favour the latter diagnosis (basal cell carcinoma). ","Skin: Excision - Basal cell carcinoma or actinic keratosis (favour actinic keratosis)",t01000,80903,,,,
"M80903B- Ex BCC",,"Skin with a basal cell carcinoma.

DATA SET PARAMETERS
Ulcerated: Yes
Growth Pattern: Nodular, Micronodular, Superficial, Infiltrative
Infiltration of Subcutaneous Fat: No 
Differentiation Type: Severe atypical or malignant squamous pattern present: No 
Lymphovascular space invasion: No 
Perineural Invasion: No 

Excision Margins: 
Peripheral Margin:  mm
Deep Margin:  mm 
Stage: pT1","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903N-Part NBCC",,"Skin with part of a nodular basal cell carcinoma. There is no ulceration or perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903NU-Part NBCC Ulcer",,"Skin with part of an ulcerated nodular basal cell carcinoma. There is no perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"M80903S-Part SBCC",,"Skin with part of a superficial basal cell carcinoma. There is no ulceration or perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903SU-Part SBCC Ulcer",,"Skin with part of a superficial nodular basal cell carcinoma. There is no perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903M-Part MBCC",,"Skin with part of a micronodular basal cell carcinoma. There is no ulceration or perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903MU-Part MBCC Ulcer",,"Skin with part of an ulcerated micronodular basal cell carcinoma. There is no perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903I-Part IBCC",,"Skin with part of an infiltrative basal cell carcinoma. There is no ulceration or perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903IU-Part IBCC Ulcer",,"Skin with part of an ulcerated infiltrative basal cell carcinoma. There is no perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903NS-Part NSBCC",,"Skin with part of a superficial and nodular basal cell carcinoma. There is no ulceration or perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903NSU-Part NSBCC Ulcer",,"Skin with part of an ulcerated superficial and nodular basal cell carcinoma. There is no perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903SM-Part SMBCC",,"Skin with part of a superfical and micronodular basal cell carcinoma. There is no ulceration or perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903SMU-Part SMUBCC Ulcer",,"Skin with part of an ulcerated superfical and micronodular basal cell carcinoma. There is no perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903ALL- Part of BCC",," Skin with part of a nodular/superficial/ infiltrative/ micronodular basal cell carcinoma. There is no ulceration or perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"80903ALLU- Part of BCC",," Skin with part of an ulcerated nodular/superficial/ infiltrative/ micronodular basal cell carcinoma. There is no perineural invasion. No atypical squamous component is seen. ","Skin: Excision - Basal cell carcinoma ",t01000,80903,,,,
"72860A-Regressing keratoacanth",,"Skin with an involuting keratoacanthoma. The lesion is completely excised. No dysplasia or malignancy is seen. ","Skin: Excision - Keratoacanthoma",t01000,72860,,,,
"72860B-Regressing keratoacanth",,"Skin with a crateriform squamous lesion filled with keratin and having well formed collarettes. The keratinocytes show minimal atypia without a glassy cytoplasm. Pleomorphism is not a feature. The advancing edge of the lesion is smooth and does not extend into subcutaneous fat. No perineural invasion is seen. Dermal fibrosis is prominent. 

The features are those of a regressing keratoacanthoma. The lesion is completely excised lying 4.2 mm from the lateral resection margin and 5.4 mm from the deep margin. No dysplasia or malignancy is seen. ","Skin: Excision - Keratoacanthoma",t01000,72860,,,,
"72860C- Classic keratoacanthom",,"Skin with a crateriform squamous lesion filled with keratin and having well formed collarettes. The keratinocytes have glassy cytoplasm. Pleomorphism is not a feature. The advancing edge of the lesion is smooth and does not extend into subcutaneous fat. No perineural invasion is seen. 

The features are those of a keratoacanthoma. The lesion is completely excised lying x mm from the lateral resection margin and x mm from the deep margin. No dysplasia or malignancy is seen. ","Skin: Excision - Keratoacanthoma",t01000,72860,,,,
"80703A-SCC well",,"Skin with part of a well-differentiated squamous cell carcinoma. No lympho-vascular invasion is seen. ","Skin: Excision - Squamous cell carcinoma",t01000,80703,,,,
"80703B-SCC mod",,"Skin with part of a moderately differentiated squamous cell carcinoma. No lympho-vascular invasion is seen. ","Skin: Excision - Squamous cell carcinoma",t01000,80703,,,,
"80703C-SCC severe",,"Skin with part of a poorly differentiated squamous cell carcinoma. No lympho-vascular invasion is seen. ","Skin: Excision - Squamous cell carcinoma",t01000,80703,,,,
"80703D-SCC Ex",,"Skin with a squamous cell carcinoma. 
  
NATIONAL DATASET 
Excision Specimens Only 
Classification: Classic  
Grade: Well Differentiated 
Tumour Thickness in mm: 
Clark Level: IV 

Invasion: 
Lymphovascular space invasion: No 
Perineural Invasion: No 
Excision Margins: 
Peripheral Margin:  mm 
Deep Margin:   mm 
Stage pT2","Skin: Excision - Squamous cell carcinoma",t01000,80703,,,,
"80706-SCC, metastatic",,"Squamous cell carcinoma, metastatic","Skin: Excision - Metastatic squamous cell carcinoma",t01000,80706,,,,
"87240-Fibrous papule of nose",,"Skin with mild hyperkeratosis, irregular acanthosis and vascular ectasia with increase dermal fibroblasts. No dysplasia or malignancy is seen. 

The features are in keeping with a fibrous papule of the nose.","Skin: Excision - Fibrous papule of the nose",,87240,,,,
"22330-Accessory nipple",,"Skin with a completely excised accessory nipple. No dysplasia or malignancy is seen. ","Skin: Excision - Accessory nipple",t01000,22300,,,,
"84070A-Syringomatous adenoma",,"Skin with the part of a tumor consisted of tubules, ductules and epithelial cell strands. Some of the proliferating ducts showed a teardrop or comma,shaped appearance.The features are those of a syringomatous adenoma of the nipple, while being benign, is a locally invasive tumor and therefore careful monitoring to detect local recurrence is necessary. ","Skin: Excision - Syringomatous adenoma ",t01000,81400,,,,
"84050A-Hidradenoma ",,"Well-circumscribed dermal tumor with a grenz zone between the tumour and the epidermis ; Variously shaped tumour islands in the dermis ; May extend into the subcutis ;? Combination of solid and cystic areas ;? Cystic spaces form as a result of tumour cell degeneration ;? The intervening stroma varies from delicate vascularized? fibrous tissue to dense hyalinized collagen ;? Minimal epidermal connection may be present ;? Foci of squamous differentiation;? Ductal differentiation and intracytoplasmic lumina ;? Mitotic figures are often present? which is of little prognostic significance. ","Skin: Excision - Solid and cystic hidradenoma",t01000,84020,,,,
"84050B-Fragments of hidradenom",,"Fragments of skin with part of a dermal tumour composed of a combination of solid and cystic areas ;? the cystic spaces form as a result of tumour cell degeneration .? The intervening stroma varies from delicate vascularized? fibrous tissue to dense hyalinized collagen ;? The solid component shows polyhedral with a rounded nucleus and slightly basophilic cytoplasm.. Ductal differentiation and intracytoplasmic lumina. The features are those of a solid and cystic hidradenoma. In this case it is not possible to fully assess the lesion as one needs to examine the periphery and the invasive border. If the border is ill,defined the lesion can be placed into an atypical category. ",,,84050,,,,
81010-Trichofolliculoma,,"Skin with a several dilated central follicles surrounded by proliferating epithelium showing various stages of pilar formation recapitulates the anagen, catagen, and telogen phases of the normal hair follicle. No malignancy is seen. The lesion is in completely excised. ","Skin: Excision - Trichofolliculoma",t01000,81010,,,,
"89400-Mixed tumour of skin",,"Skin with part of a well circumscribed tumour located in the dermis and subcutaneous tissue. No epidermis is noted. Tumour consists of epithelial component set in a chondroid, myxoid and fibrous stroma ;?? There are epithelial nests, islands, ducts and tubular structures. No malignancy is seen. The features are those of a mixed tumour of skin (chondroid syringoma), in completely excised. ","Skin: Excision - Chondroid syringoma ",t01000,84070,,,,
"81000A-Trichoepithelioma/ BCC",,"Skin with a basaloid tumour in the dermis which is well defined and arranged in variably sized islands. There is a high nuclear to cytoplasmic ratio and mitotses are seen. The surrounding stroma shows focal areas of increased cellularity but no papillary mesenchymal bodies are seen. There is a similar lesion toward the margin with well formed epithelial fronds. The lesion is at the peripheral margin but lies 1.2 mm from the deep margin. The differential lies between a trichoepithelioma and micronodular basal cell carcinoma. The focal increased mitoses and nuclear pleomorphism leads me to favour a micronodular basal cell carcinoma (sometimes referred to as a trichoblastic carcinoma) although clinicopathological correlation is advised. ","Skin: Excision - Basal cell carcinoma / trichoepithelioma",t01000,80903/81010,,,,
81000B-Trichoepithelioma,,"Skin with a symmetrical micronodular basaloid tumour in the upper dermis with no connection to the epidermis. The tumour is composed of cells with s a high nuclear to cytoplasmic ratio and mitotses are seen. The surrounding stroma shows increased cellularity and stromal induction but no papillary mesenchymal bodies are seen. The lesion is completely excised and lies 4mm from the peripheral margin but 2 mm from the deep margin.The features are highly suggested of a trichoepithelioma. Clinicopathological correlation is advised","Skin: Excision - Trichoepithelioma",t01000,81000,,,,
81030-Trichoblastoma,,"Skin with a multi-lobulated, basaloid tumour in the dermis arranged in variably sized islands, some showing central cystic degeneration. The tumour cells show high nuclear to cytoplasmic ratio and mitoses are seen. The surrounding stroma shows areas of increased cellularity with formation of papillary mesenchymal bodies. The lesion has multiple connections to the epidermis with associated ulceration. The basaloid islands show focal areas of retraction artefact, peripheral palisading and in such areas loss of stromal condensation. The lesion is present at the lateral and deep resection margins. 

The features suggest a trichoblastic carcinoma (which some believe is a variant of basal cell carcinoma) arising in a longstanding giant trichoepithelioma. Given the lesion is incompletely excised a wider excision is advised.","Skin: Excision - Trichoepithelioma",t01000,8103,,,,
"2500-Sebaceous hyperplasia ",,"Skin with prominent sebaceous glands in the dermis. There is no evidence of dysplasia or malignancy. The features are in keeping with a Sebaceous hyperplasia. ","Skin: Excision - Sebaceous hyperplasia",t01000,7200,,,,
"84100-Seb adenoma",,"Skin with a localised basaloid proliferation with prominent sebaceous differentiation. There is no evidence of dysplasia or malignancy. The features are in keeping with a Sebaceous adenoma which is completely excised. Patients will a single sebaceous adenoma may have Muir Torre syndrome and clinicopathological correlation is advised. ","Skin: Excision - Sebaceous adenoma",t01000,84100,,,,
"84103-Seb carcinoma",,"Fragmented skin with lobules of basaloid cells with sebaceous differentiation. The sebocytes  show multivacuolated clear cytoplasm. There is moderate,to,severe atypia, and increased mitoses with comedo necrosis. The tumour abuts the overlying acanthotic epidermis. The features are those of a Extraocular sebaceous carcinoma. Patients will a single sebaceous carcinoma may have Muir Torre syndrome and clinicopathological correlation is advised.","Skin: Excision - Sebaceous carcinoma",t01000,84103,,,,
"75750-Sebaceous naevus ",,"Skin with hyperkeratosis, irregular acanthosis and abnormal proliferation of sebaceous glands in the dermis. There is no evidence of dysplasia or malignancy. The lesion is completely excised in the sections examined.? The features are in keeping with a Sebaceous naevus. ","Skin: Excision - Sebaceous naevus",t01000,75750naevussebaceus,,,,
84060-Syringocystadenoma,,"Skin with irregular acanthosis and papillomatosis. A cystic invagination extends downward from the epidermis. Numerous villous projections are seen within these invaginations. These papillary projections are lined by two layers of epithelial cells, a columnar luminal cell layer and an outer layer of small cuboidal cells.? Occasionally, the luminal row of cells?show decapitation secretion.In the deep dermis, groups of apocrine glands are present associated with?variably sized eccrine ducts. The stroma is?infiltrated by a dense mononuclear infiltrate composed of plasma cells. Malformed sebaceous glands and hair structures are also seen. The features are those of a syringocystadenoma papilliferum associated with a syringoma and follicular induction?on the background of naevus sebaceous. There is no evidence of dysplasia or malignancy. The lesion although completely excised comes to within 0.5 mm of the lateral resection margin. ","Skin: Excision - Syringocystadenoma papilliferum and Naevus sebaceous ",t01000,"
84060syringocystadenomapapilliferum
",m84070,,,
84020-Poroma,,"Skin with a basaloid proliferation extending from multiple attachments from the epidermis composed of small poroid cells with evidence of ductal differentiation. Mitotic figures are not seen. The lesion is completely excised in the planes of section examined. There is no evidence of malignancy.  The features are those of an eccrine poroma. ","Skin: Excision - Poroma",t01000,84020eccrineporoma,,,,
82000-Cylindroma,,"Skin with a fairly circumscribed, non,encapsulated , dermal tumour without attachment to the epidermis . The lesion is composed of numerous oval and polygonal nests arranged in an interlocking (jigsaw,like) pattern. There are two cell types, the peripheral cells are small and basophilic and central cells are larger and pale stained. Small ductal lumina may be present. Thick hyaline bands surround tumour islands. Hyaline droplets within nests are also visible. Here is no evidence of malignancy. The lesion extends to a peripheral margin. The features are those of an eccrine cylindroma. ","Skin: Excision - Cyclindroma",t01000,82000dermaleccrinecylindroma,,,,
"2530- Cell cell acanthoma",,"Skin with epidermal acanthosis with pallor to the keratinocytes and a sharp demarcation of the lesion from the adjacent normal epidermis. No dysplasia or malignancy is seen. The lesion appears completely excised. The features are in keeping with a clear cell acanthoma. ","Skin: Excision - Clear cell acanthoma",t01000,72162clearcellacanthoma,,,,
"81020-Classic trichilemmoma ",,"Skin with a well-circumscribed lobulated adnexal tumour composed of glycogenated clear epithelial cells with peripheral palisading. No dysplasia or malignancy is seen. The features are those of a centrally ulcerated, traumatised trichilemmoma.  The lesion is completely excised.",,,desmoplastictrichilemmoma,,,,
"81020-Desmoplastic trichilemmo",,"Skin with a well, circumscribed lobulated adnexal tumour composed of glycogenated clear epithelial cells with peripheral palisading. Centrally the lesion shows a sclerotic stromal component together with complex strands of clear epithelial cell in the periphery. No dysplasia or malignancy is seen. The features are those of a Desmoplastic trichilemmoma. ","Skin: Excision - Desmoplastic trichilemmoma ",t01000,84040hidrocystoma,,,,
84040-Hidrocystoma,,"Skin with multiple cysts in the dermis lined by apocrine cells. There is no atypia and the lesion is completely excised. There is no evidence of background naevus sebaceous. There is no evidence of dysplasia or malignancy. The features are those of an Apocrine Hidrocystoma ","Skin: Excision - Apocrine Hidrocystoma ",t01000,57250(lentigo)inkspotlentigo,,,,
57240A-Lentigo,,"Sun damaged skin with patchy basal pigmentation and mild increase in predominantly bland melanocytes. Rare melanocytes show random cytological atypia. There is dermal vascular ectasia. No malignancy is seen.? The features are in keeping with an Ink spot lentigo (reticulated lentigo).","Skin: Excision - Ink spot lentigo",,57410labialmelanoticmacule,,,,
"57240B-Lentigo labial",," Skin with glycogenated keratinocytes with mild acanthosis and basal pigmentation. Dermal melanophages are present.  The lesion is incompletely excised. There is no evidence of dysplasia or malignancy. The features are those of a labial melanotic macule.","Skin: Excision - Labial melanotic macule",,57240solarlentigo,,,,
"57240C-Lentigo solar",,"Sections show skin with epidermal hyperkeratosis, mild elongation and budding of rete ridges with some increase in melanocytes. There is no evidence of dysplasia, cytological atypia or malignancy. 

The features are in keeping with a Solar lentigo.","Skin: Excision - Solar lentigo ",t01000,57250(lentigo)simplelentigo,,,,
"57240C-Lentigo simple",,"Skin with basal pigmentation and mild increase in bland melanocytes. There are dermal melanophages and patchy inflammation.  The lesion is incompletely excised. There is no evidence of dysplasia or malignancy. The features are those of a simple lentigo. ","Skin: Excision - Simple lentigo ",t01000,87400naevusjunctional,,,,
"87400A-Naevus Junctional ex",,"Sections show a benign junctional naevus. There is no evidence of dysplasia or malignancy. The lesion is completely excised in the planes of section examined. ","Skin: Excision - Benign junctional naevus",,87400naevusjunctional,,,,
"87400B-Naevus Junctional",,"Sections show a benign junctional naevus. There is no evidence of dysplasia or malignancy. The lesion is incompletely excised at the lateral resection margin. ","Skin: Excision - Benign junctional naevus",,87401mildlydysplasticjunctionalnaevus,,,,
"87400C-Naevus Junctional dyspl",,"Skin with an asymmetrical junctional melanocytic lesion. There is bridging of adjacent epidermal nests with cytological atypia and lentiginous proliferation. There is dermal inflammation and fibrosis with pigment incontinence. No Pagetoid spread is seen. No dermal melanocytes are present. The lesion is completely excised and lies 1.3 mm from the lateral resection margin. 

The features are those of a mildly dysplastic junctional melanocytic naevus.","Skin: Excision - Mildly dysplastic junctional naevus",,87200,,,,
"87400D-Naevus Junctional speci",,"Acral skin with a pigmented junctional melanocytic naevus with mild architectural atypia but no cytological aytpia. No Pagetoid spread is seen. There is no evidence of malignancy. The lesion is just completely excised in the planes of section examined lying 0.7 mm from the lateral resection margin. 

The features are those of a pigmented junctional melanocytic neavus of special site (acral).","Skin: Excision - Naevus of special site naevus",,87500naevusintradermal,,,,
"87500A-Naevus Intrdermal, ex",,"Skin with a predominantly intradermal melanocytic naevus.? There is no evidence of dysplasia or malignancy. The lesion is completely excised in the planes of section examined. ","Skin: Excision - Intradermal melanocytic naevus",t01000,87500naevusintradermal,,,,
