Code,Description,Type
t59010,Pancreatic Duct,t1
t97000,Parathyroid Gland,t1
t55100,Parotid Gland,t1
ty6261,Pelvic Floor,t1
t76000,Penis,t1
t3x110,Pericardial Cytologic Material,t1
t31000,Pericardium,t1
t02500,Perineum,t1
t6x940,Peritoneal Cytologic Material,t1
ty4400,Peritoneum,t1
t60000,Pharynx,t1
t91000,Pituitary Gland,t1
t88100,Placenta,t1
t88000,Placenta Cord and Implantation Site NOS,t1
t29000,Pleura,t1
t2y610,Pleural Cytologic Material,t1
t48810,Portal Vein,t1
t48812,Portal Vein Intrahepatic,t1
ty0171,Preauricular Area,t1
t77100,Prostate,t1
t77000,Prostate And Seminal Vesicle NOS,t1
t11360,Pubis,t1
t63700,Pylorus,t1
t68000,Rectum,t1
t48740,Renal Vein,t1
t20000,Respiratory System,t1
ty4600,Retroperitoneum,t1
t55000,Salivary Gland,t1
ty0160,Scalp,t1
t11280,Scapula,t1
txx110,Sclera,t1
t79400,Scrotum,t1
t77500,Seminal Vesicle,t1
t1x120,Serosa,t1
ty1220,Shoulder,t1
t22300,Ethmoid Sinus,t1
t22200,Frontal Sinus,t1
t22100,Maxilliary Antrum,t1
t22000,Sinus Paranasal,t1
t22400,Sinus Sphenoid,t1
t00003,Site Not Specified,t1
t10101,Skull,t1
t64000,Small Intestine,t1
t1x000,Soft Tissue,t1
t79300,Spermatic Cord,t1
tx7410,Spinal Cord,t1
t07000,Spleen,t1
t2y030,Sputum,t1
t10310,Sternum,t1
t63000,Stomach,t1
t03000,Subcutaneous Tissue,t1
t1y010,Synovial Cytologic Material,t1
t12040,Synovial Tissue,t1
t59300,Tail Of Pancreas,t1
t45270,Temporal Artery Superficial,t1
tx2500,Temporal Lobe,t1
t17010,Tendon,t1
t78020,Testis Left,t1
t78010,Testis Right,t1
ty9100,Thigh,t1
ty2100,Thorax,t1
t98000,Thymus,t1
t96000,Thyroid Gland,t1
t96200,Thyroid Gland Left Lobe,t1
t96100,Thyroid Gland Right Lobe,t1
ty9800,Toe,t1
t53000,Tongue,t1
t61100,Tonsil,t1
t61120,Tonsil Left,t1
t61110,Tonsil Right,t1
t61000,Tonsils And Adenoids,t1
t54000,Tooth Gum And Supporting Structure NOS,t1
t25000,Trachea,t1
t2y310,Tracheal Cytologic Material,t1
t88110,Trophoblast,t1
ty1000,Trunk,t1
t88800,Umbilical Cord,t1
ty4230,Umbilical Region,t1
t2x030,Upper Respiratory Tract Cytologic Material,t1
t73000,Ureter,t1
t73020,Ureter Left,t1
t73010,Ureter Right,t1
t74320,Ureteral Orifice,t1
t75000,Urethra,t1
t7x100,Urine,t1
t82000,Uterus,t1
t82900,Uterus And Cervix,t1
t82910,Uterus And Fallopian Tubes,t1
t82920,Uterus Fallopian Tubes And Ovaries,t1
t81000,Vagina,t1
t8x210,Vaginal Cytologic Material,t1
tx8775,Vagus Trunk Posterior,t1
t79200,Vas Deferens,t1
t48600,Vena Cava,t1
t10510,Vertebra,t1
t24400,Vocal Cord,t1
t80100,Vulva,t1
t80000,Vulva Labia And Clitoris NOS,t1
t8x110,Vulvar Cytologic Material,t1
ty8600,Wrist,t1
t13000,Skeletal Muscle,t1
t54940,Alveolar Ridge,t1
t51300,Buccal Mucosa,t1
t51210,Floor Of Mouth,t1
t54912,Gingiva Attached,t1
t24110,Larynx,t1
t52250,Lip,t1
t52200,Lip Lower,t1
t52100,Lip Upper,t1
t22130,Maxilliary Antrum Mucosa,t1
t21340,Nasal Septum,t1
t23010,Nasopharynx,t1
t60110,Pharynx,t1
t55400,Minor Salivary Gland,t1
t55200,Sublingual Gland,t1
t55300,Submandibular,t1
txy520,Mastoid,t1
txy300,Ear Middle,t1
t2x120,Nasal Cavity,t1
t54010,Tooth Nos,t1
